S.NO,PROP_ID,SIZE_OF_PROPERTY,NO_OF_BEDROOMS,LOCALITY,PROPERTY_TYPE,TOTAL_FLOOR,AGE_OF_BUILDING,PRICE_IN_LAKHS,CONSTRUCTION_STATUS,LATITUDE,LOGITUDE
243,L48341217,300,2,Tharwani Meghna Montana,Residential Apartment,14,18,153,Under Construction,19.2083801,72.842227
244,R70175100,1150,3,Tharwani Meghna Montana,Residential Apartment,12,32,250,Under Construction,19.2083801,72.842227
245,E70174628,1100,3,Tharwani Meghna Montana,Residential Apartment,22,1,138.99999,Under Construction,19.2294561,72.8479905
246,D69868644,950,3,Tharwani Meghna Montana,Residential Apartment,10,43,335,Under Construction,19.1633281,72.8411995
247,X69845252,702,2,Tharwani Meghna Montana,Residential Apartment,12,27,145,Under Construction,19.2083801,72.842227
248,W65269120,180,3,Tharwani Meghna Montana,Serviced Apartments,7,15,90,Under Construction,19.1633281,72.8411995
249,M70912096,360,2,Tharwani Meghna Montana,Residential Apartment,5,40,135,Under Construction,19.1633281,72.8411995
250,U70896090,325,2,Tharwani Meghna Montana,Residential Apartment,6,34,90,Under Construction,19.1860219,72.8563181
251,P70895876,870,3,Tharwani Meghna Montana,Residential Apartment,5,50,216,Under Construction,19.2083801,72.842227
252,D70827484,780,3,Tharwani Meghna Montana,Residential Apartment,5,19,137,Under Construction,19.2103809,72.8640837
253,K70727070,270,3,Tharwani Meghna Montana,Residential Apartment,5,6,277.99999,Under Construction,19.1633281,72.8411995
254,S70569012,850,2,Tharwani Meghna Montana,Residential Apartment,5,41,279,Under Construction,19.1633281,72.8411995
255,E70568782,490,3,Tharwani Meghna Montana,Residential Apartment,5,27,816,Under Construction,19.2294561,72.8479905
256,F70464142,450,2,Tharwani Meghna Montana,Residential Apartment,5,15,386,Under Construction,19.1158835,72.854202
257,I68938146,620,4,Tharwani Meghna Montana,Residential Apartment,4,46,170,Under Construction,19.1633281,72.8411995
258,Q70584500,740,2,Tharwani Meghna Montana,Residential Apartment,3,33,601,Under Construction,19.1692623,72.8552548
259,A70568558,450,2,Dev Drashti Empire Phase 1,Residential Apartment,5,10,279,Ready to move,19.1692623,72.8552548
260,Q68942116,620,3,Dev Drashti Empire Phase 1,Residential Apartment,5,35,315,Ready to move,19.1860219,72.8563181
261,U70127070,350,3,Dev Drashti Empire Phase 1,Residential Apartment,5,24,375,Ready to move,19.1860219,72.8563181
262,W46428407,700,3,Dev Drashti Empire Phase 1,Serviced Apartments,2,5,310,Ready to move,19.1860219,72.8563181
263,W70365744,580,2,Dev Drashti Empire Phase 1,Residential Apartment,5,39,211,Ready to move,19.1860219,72.8563181
264,D70283284,460,3,Dev Drashti Empire Phase 1,Residential Apartment,5,18,165,Ready to move,19.2267228,72.8619328
265,B70283030,350,2,Dev Drashti Empire Phase 1,Residential Apartment,3,30,160,Ready to move,19.2267228,72.8619328
266,V70358638,350,3,Dev Drashti Empire Phase 1,Residential Apartment,5,1,260,Ready to move,19.1840129,72.8412155
267,M70282834,450,2,Dev Drashti Empire Phase 1,Residential Apartment,3,44,152,Ready to move,19.0525298,73.0735111
268,F70283450,375,2,Dev Drashti Empire Phase 1,Residential Apartment,5,21,23,Ready to move,19.0269192,72.8759337
269,P46487075,750,2,Dev Drashti Empire Phase 1,Serviced Apartments,2,8,330,Ready to move,19.0269192,72.8759337
270,X70156116,650,2,Dev Drashti Empire Phase 1,Residential Apartment,3,36,290,Ready to move,18.9710996,73.0217484
271,L70156652,350,3,B G Shirke Monte Verita West Tower,Residential Apartment,5,14,112,Under Construction,18.9710996,73.0217484
272,D69916542,650,3,B G Shirke Monte Verita West Tower,Residential Apartment,4,47,90,Under Construction,18.9710996,73.0217484
273,T69291080,1500,2,B G Shirke Monte Verita West Tower,Residential Apartment,47,22,85,Under Construction,19.0525298,73.0735111
274,E70888864,1110,2,B G Shirke Monte Verita West Tower,Residential Apartment,14,2,90,Under Construction,19.1840129,72.8412155
275,U70046786,750,3,B G Shirke Monte Verita West Tower,Residential Apartment,6,38,115,Under Construction,19.2494501,72.8596206
276,Q68706886,560,3,B G Shirke Monte Verita West Tower,Residential Apartment,8,26,121,Under Construction,19.204159,72.8516821
277,F70137540,700,2,B G Shirke Monte Verita West Tower,Residential Apartment,3,11,110,Under Construction,19.1648029,72.8500454
278,L70310916,750,2,B G Shirke Monte Verita West Tower,Residential Apartment,7,45,270,Under Construction,19.1648029,72.8500454
279,W70932750,980,3,Walekar Homes,Residential Apartment,7,29,216,Ready to move,19.1648029,72.8500454
280,W70931874,1000,3,Walekar Homes,Residential Apartment,12,3,302,Ready to move,19.1648029,72.8500454
281,E70884184,636,3,Walekar Homes,Residential Apartment,17,37,412,Ready to move,19.1648029,72.8500454
282,K70378884,980,2,Walekar Homes,Residential Apartment,7,17,305,Ready to move,19.1692623,72.8552548
283,A70865246,1755,1,Walekar Homes,Residential Apartment,12,48,367,Ready to move,19.1860219,72.8563181
284,T70823970,1400,2,Walekar Homes,Residential Apartment,3,25,238,Ready to move,19.1860219,72.8563181
285,J70440988,800,2,Walekar Homes,Residential Apartment,14,12,205,Ready to move,19.1462636,72.9339461
286,D66718748,1200,3,Ravechi Shreeji Divine,Residential Apartment,18,42,55,Under Construction,19.2016957,72.8537297
287,C70389974,1095,4,Ravechi Shreeji Divine,Residential Apartment,15,7,90,Under Construction,1.27757385,-77.72891341
288,X68246404,710,3,Ravechi Shreeji Divine,Residential Apartment,15,31,325,Under Construction,19.1296868,72.9283701
289,D70376782,980,2,Ravechi Shreeji Divine,Residential Apartment,7,20,85,Under Construction,19.1296868,72.9283701
290,U70333032,1600,3,Ravechi Shreeji Divine,Residential Apartment,15,4,85,Under Construction,19.2267228,72.8619328
291,T68245864,250,3,Ravechi Shreeji Divine,Residential Apartment,13,43,90,Under Construction,19.2103809,72.8640837
292,V70458628,980,3,Neelkanth Auris,Residential Apartment,14,28,25,Under Construction,19.2446251,72.8479254
293,E70531790,380,3,Neelkanth Auris,Residential Apartment,4,13,55,Under Construction,19.2483914,72.8525146
294,V65901776,1200,3,Shree Krupa Nandanvan Homes Building B,Residential Apartment,13,49,80,Under Construction,19.1860219,72.8563181
295,G70222680,1000,3,Shree Krupa Nandanvan Homes Building B,Residential Apartment,30,23,275,Under Construction,24.5729823,72.5204944
296,W70386734,1050,4,Sri Garden Avenue K,Residential Apartment,7,40,115,Under Construction,19.0094817,72.8376614
297,X70239984,1350,3,Sri Garden Avenue K,Residential Apartment,7,16,359,Under Construction,18.9963318,72.8308603
298,X70123914,1200,1,Tajjodin Taj Regency,Residential Apartment,18,34,420,Under Construction,19.0094817,72.8376614
299,B69951548,1000,1,Avant Heritage III,Residential Apartment,12,9,331,Under Construction,19.0116962,72.8180702
300,Q69858352,950,2,Avant Heritage III,Residential Apartment,19,32,1060,Under Construction,18.9963318,72.8308603
301,D70803050,700,3,Avant Heritage III,Residential Apartment,15,1,1014,Under Construction,19.1348994,72.8488199
302,K70028534,1100,4,Reputed Builder Wild Wood Park 2,Residential Apartment,7,26,325,Ready to move,19.1348994,72.8488199
303,L67804266,300,3,Squarefeet Sarvoday Square,Residential Apartment,15,47,185,Ready to move,19.1840129,72.8412155
304,D68707090,560,3,Reputed Builder Wild Wood Park 2,Residential Apartment,6,8,110,Ready to move,19.0638507,72.8966448
305,Y68707008,580,3,Reputed Builder Wild Wood Park 2,Residential Apartment,8,35,92,Ready to move,40.6979465,-73.9266436
306,X70319554,749,2,Reputed Builder Wild Wood Park 2,Residential Apartment,11,15,501,Ready to move,19.0460658,72.8954733
307,W70370838,750,2,Reputed Builder Wild Wood Park 2,Residential Apartment,4,42,330,Ready to move,-27.1884548,25.9648813
308,W70370954,750,2,Reputed Builder Wild Wood Park 2,Residential Apartment,4,18,341,Ready to move,19.1722904,72.9564695
309,K70168644,750,3,Reputed Builder Wild Wood Park 2,Residential Apartment,4,29,218,Ready to move,19.1722904,72.9564695
310,O69278474,1100,3,Shreeji Darshan,Residential Apartment,22,4,218,Under Construction,19.1722904,72.9564695
311,B69191390,1500,2,Abhinandan Cloris,Residential Apartment,22,38,212,Under Construction,19.41744235,72.81759746
312,T71012564,1200,2,Reputed Builder Wild Wood Park 2,Residential Apartment,15,21,30,Ready to move,19.1159043,72.8931348
313,H70998024,980,1,Reputed Builder Emerald Apartments,Residential Apartment,7,6,110,Ready to move,19.1159043,72.8931348
314,Z70909120,800,2,Paradise Sai World Dreams Phase 1,Residential Apartment,7,33,179,Under Construction,19.1277203,72.9062795
315,S69548574,900,2,Bhoomi New vandana CHSL,Residential Apartment,6,11,195,Ready to move,19.1692623,72.8552548
316,C69707968,1100,2,Reputed Builder Wild Wood Park 2,Residential Apartment,6,48,160,Ready to move,19.0614859,73.1161392
317,P70895380,500,2,Reputed Builder Wild Wood Park 2,Studio Apartment,6,22,64,Ready to move,19.1943294,72.9701779
318,Q70895054,450,2,Reputed Builder Wild Wood Park 2,Studio Apartment,6,3,900,Ready to move,19.0943323,73.3008946
319,B70859074,1200,2,Crystal Bharat Residency,Residential Apartment,9,41,21,Ready to move,19.0257731,73.05918478
320,E70851314,900,2,Reputed Builder Wild Wood Park 2,Residential Apartment,7,16,36,Ready to move,18.9710996,73.0217484
321,C69140976,1463,2,Avant Hillway,Residential Apartment,15,39,92,Under Construction,18.9710996,73.0217484
322,Y69141548,1489,4,Fia Orion,Residential Apartment,15,9,92,Ready to move,18.9710996,73.0217484
323,R70281040,1200,3,SS Balaji Krishna,Residential Apartment,2,44,53,Under Construction,19.0257731,73.05918478
324,C70814994,862,3,Qualitas QN Heights,Residential Apartment,7,27,95,Ready to move,18.9710996,73.0217484
325,K70865586,1050,4,Aditi Seven Heights,Residential Apartment,11,2,90,Under Construction,19.0164338,73.0806552
326,Z70849470,600,2,Reputed Builder Wild Wood Park 2,Residential Apartment,5,37,110,Ready to move,19.0257731,73.05918478
327,N70701756,510,2,SD Epsilon,Residential Apartment,5,20,72,Ready to move,18.9710996,73.0217484
328,D70283334,1200,2,Reputed Builder Wild Wood Park 2,Residential Apartment,6,5,70,Ready to move,18.9710996,73.0217484
329,E70127184,1100,2,Crystal Bharat Residency,Residential Apartment,4,36,110,Ready to move,18.9710996,73.0217484
330,B70598176,840,2,Reputed Builder Wild Wood Park 2,Residential Apartment,7,13,45,Ready to move,18.9710996,73.0217484
331,O69410408,1200,2,Lodha Codename Crown Jewel,Residential Apartment,15,49,168,Ready to move,18.9710996,73.0217484
332,C70545564,1200,2,Zoeb Aayesha Palace,Residential Apartment,9,24,162.99999,Ready to move,18.9710996,73.0217484
333,T70376284,1000,2,Reputed Builder Wild Wood Park 2,Residential Apartment,10,7,155,Ready to move,19.0614859,73.1161392
334,P68170490,1215,2,Reputed Builder Wild Wood Park 2,Residential Apartment,32,30,49,Ready to move,19.26275015,72.96728418
335,A68170488,805,2,Reputed Builder Wild Wood Park 2,Residential Apartment,32,14,34,Ready to move,19.074534,73.09063078
336,X13758999,290,2,HDIL Galaxy Apartments,Studio Apartment,4,43,48,Ready to move,19.4533576,72.8057966
337,F70001962,100,2,Reputed Builder Wild Wood Park 2,Residential Apartment,10,10,62,Ready to move,19.0626319,72.9011399
338,R67358284,200,2,Shreeji Bhakti Park,Residential Apartment,5,31,337,Ready to move,40.6979465,-73.9266436
339,U67768526,1300,2,Reputed Builder Wild Wood Park 2,Residential Apartment,20,45,501,Ready to move,19.0626319,72.9011399
340,B66613678,1000,2,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Residential Apartment,16,28,107,Ready to move,19.0626319,72.9011399
341,U65766972,1500,2,HG Sai Tulip,Residential Apartment,25,17,150,Ready to move,19.0626319,72.9011399
342,B69119402,1100,2,Reputed Builder Wild Wood Park 2,Residential Apartment,8,50,185,Ready to move,19.0626319,72.9011399
343,P66595406,1300,2,Proviso SaiProviso County,Residential Apartment,15,32,176,Ready to move,18.9710996,73.0217484
344,G70283514,1010,2,Proviso SaiProviso County,Residential Apartment,12,19,70,Under Construction,18.9710996,73.0217484
345,P70300234,750,2,Reputed Builder Wild Wood Park 2,Residential Apartment,7,46,110,Ready to move,18.9710996,73.0217484
346,N70285818,300,3,Kalpataru Kalpataru Elitus,Residential Apartment,20,12,45,Under Construction,18.9710996,73.0217484
347,Q70192786,1100,3,Kalpataru Kalpataru Elitus,Residential Apartment,10,25,168,Under Construction,18.9710996,73.0217484
348,Y70192978,375,3,Kalpataru Kalpataru Elitus,Residential Apartment,9,34,162.99999,Under Construction,18.9710996,73.0217484
349,V70192960,1200,2,Kalpataru Kalpataru Elitus,Residential Apartment,7,23,155,Under Construction,19.0164338,73.0806552
350,O70175326,1000,2,Kalpataru Kalpataru Elitus,Residential Apartment,22,40,50,Under Construction,19.0164338,73.0806552
351,D68956784,220,2,Kalpataru Kalpataru Elitus,Residential Apartment,7,1,40,Under Construction,19.0164338,73.0806552
352,A68970092,650,3,Kalpataru Kalpataru Elitus,Residential Apartment,17,26,38,Under Construction,19.0164338,73.0806552
353,G68970152,550,2,Kalpataru Kalpataru Elitus,Residential Apartment,16,47,44,Under Construction,19.0164338,73.0806552
354,P41029779,280,2,Kalpataru Kalpataru Elitus,Studio Apartment,6,8,90,Under Construction,19.0164338,73.0806552
355,L70570358,1200,2,Kalpataru Kalpataru Elitus,Residential Apartment,25,35,26,Under Construction,19.1201112,72.8510836
356,F70382896,800,3,Reputed Builder Wild Wood Park 2,Residential Apartment,15,15,210,Ready to move,19.0614859,73.1161392
357,C70213138,700,3,Kalpataru Vivant South Wing B,Residential Apartment,28,42,49,Under Construction,19.26275015,72.96728418
358,L70470210,1470,2,Kalpataru Vivant South Wing B,Residential Apartment,12,18,34,Under Construction,19.074534,73.09063078
359,J70382940,700,3,Kalpataru Vivant South Wing B,Residential Apartment,15,29,48,Under Construction,19.4533576,72.8057966
360,H70212980,700,2,Kalpataru Vivant South Wing B,Residential Apartment,22,4,62,Under Construction,19.1348994,72.8488199
361,O70212082,750,2,Kalpataru Vivant South Wing B,Residential Apartment,20,38,185,Under Construction,19.0626319,72.9011399
362,K70251800,1240,2,Kalpataru Vivant South Wing B,Residential Apartment,20,21,196,Under Construction,19.0612128,72.8975909
363,F70212350,850,3,Kalpataru Vivant South Wing B,Residential Apartment,35,6,186,Under Construction,19.0626319,72.9011399
364,K70173760,3000,3,Kalpataru Vivant South Wing B,Residential Apartment,23,33,215,Under Construction,41.7238743,86.173541
365,O70173920,350,2,Kalpataru Vivant South Wing B,Residential Apartment,15,11,110,Under Construction,19.1293944,72.8396919
366,C70211904,900,2,Kalpataru Vivant South Wing B,Residential Apartment,7,48,137.99999,Under Construction,19.0475502,72.9051895
367,W70174180,750,2,Kalpataru Vivant South Wing B,Residential Apartment,7,22,140,Under Construction,19.0525298,73.0735111
368,F70174026,450,3,Kalpataru Vivant South Wing B,Residential Apartment,7,3,220,Under Construction,19.0525298,73.0735111
369,M70173616,550,3,Kalpataru Vivant South Wing B,Residential Apartment,20,41,145,Under Construction,19.2103809,72.8640837
370,W69960136,325,2,Kalpataru Vivant South Wing B,Residential Apartment,23,16,250,Under Construction,19.0525298,73.0735111
371,S70951224,339,1,Kalpataru Vivant South Wing B,Residential Apartment,18,39,115,Under Construction,19.0614859,73.1161392
372,F67072846,1020,2,Kalpataru Vivant South Wing B,Residential Apartment,5,9,40,Under Construction,19.0614859,73.1161392
373,G70088818,900,3,Kalpataru Vivant South Wing B,Residential Apartment,4,44,25,Under Construction,19.0614859,73.1161392
374,K70430070,595,2,Kalpataru Vivant South Wing B,Residential Apartment,4,27,23,Under Construction,18.9963318,72.8308603
375,K70469274,1300,3,Kalpataru Vivant South Wing B,Residential Apartment,7,2,450,Under Construction,19.1943294,72.9701779
376,T70054850,350,2,Kalpataru Vivant South Wing B,Residential Apartment,4,37,57,Under Construction,19.0945967,74.7313743
377,A69118116,611,3,Kalpataru Vivant South Wing B,Residential Apartment,20,20,96,Under Construction,25.89592445,82.43771623
378,C70917812,800,3,Kalpataru Vivant South Wing B,Residential Apartment,6,5,20.1,Under Construction,25.89592445,82.43771623
379,X70987192,1200,2,Kalpataru Srishti Namaah,Residential Apartment,10,36,20.05,Under Construction,19.1436074,73.29553454
380,H70909094,920,2,Kalpataru Srishti Namaah,Residential Apartment,7,13,25.48,Under Construction,19.1436074,73.29553454
381,W70956884,1600,2,Reputed Builder Wild Wood Park 2,Residential Apartment,15,49,24.92,Ready to move,19.1436074,73.29553454
382,U70858012,1200,2,Vrindavan Nagari,Residential Apartment,7,24,24.18,Ready to move,19.1989795,73.19611234
383,H70843692,1200,2,Reputed Builder Wild Wood Park 2,Residential Apartment,7,7,24,Ready to move,19.0813635,72.853893
384,P70843358,900,3,Reputed Builder Wild Wood Park 2,Residential Apartment,7,30,217,Ready to move,19.0945967,74.7313743
385,V70836922,900,3,Reputed Builder Wild Wood Park 2,Residential Apartment,11,14,167,Ready to move,19.0945967,74.7313743
386,G70815106,900,2,Reputed Builder Wild Wood Park 2,Residential Apartment,15,43,29,Ready to move,19.0945967,74.7313743
387,K70382654,980,2,DB Ozone,Residential Apartment,9,10,115,Ready to move,19.0813635,72.853893
388,Y70371244,1000,2,Lodha Aqua,Residential Apartment,22,31,217,Ready to move,19.0164338,73.0806552
389,U70595846,840,3,Lodha Aqua,Residential Apartment,10,45,40,Ready to move,19.0164338,73.0806552
390,A70589198,800,2,Man Opus,Residential Apartment,7,28,64,Ready to move,19.0164338,73.0806552
391,D70462102,800,2,Man Opus,Residential Apartment,15,17,69,Ready to move,18.9710996,73.0217484
392,N70069728,1080,3,Man Opus,Residential Apartment,14,50,75,Ready to move,19.0164338,73.0806552
393,W69815348,1200,3,Man Opus,Residential Apartment,15,32,54.25,Ready to move,19.0164338,73.0806552
394,P70216318,1000,2,Lodha Aqua,Residential Apartment,18,19,57,Ready to move,19.0164338,73.0806552
395,H70387974,560,3,DB Ozone,Residential Apartment,15,46,71,Ready to move,19.0164338,73.0806552
396,K70287324,650,3,DB Ozone,Residential Apartment,10,12,78,Ready to move,19.0164338,73.0806552
397,Y70287060,650,2,Lodha Aqua,Residential Apartment,15,25,59,Ready to move,19.0164338,73.0806552
398,X70337864,650,2,Man Opus,Residential Apartment,15,34,62,Ready to move,18.9710996,73.0217484
399,I70232960,1000,3,Man Opus,Residential Apartment,8,23,55,Ready to move,19.0164338,73.0806552
400,G65850644,249,2,Man Opus,Residential Apartment,5,40,50,Ready to move,19.0164338,73.0806552
401,C68944912,1435,3,Man Opus,Residential Apartment,22,1,40.5,Ready to move,19.0164338,73.0806552
402,N69963744,750,3,Man Opus,Residential Apartment,15,26,50.5,Ready to move,18.9710996,73.0217484
403,U68706724,560,2,Lodha Mira Road Project 1,Independent House/Villa,1,47,74,Ready to move,19.0164338,73.0806552
404,X68706830,550,2,Lodha Mira Road Project 1,Residential Apartment,7,8,68,Ready to move,19.0164338,73.0806552
405,W68706944,460,2,Lodha Mira Road Project 1,Residential Apartment,5,35,30,Ready to move,19.0164338,73.0806552
406,M69859480,1050,2,Lodha Mira Road Project 1,Residential Apartment,2,15,52,Ready to move,19.0164338,73.0806552
407,F69345268,1300,3,Reputed Builder Wild Wood Park 2,Residential Apartment,19,42,67,Ready to move,19.0164338,73.0806552
408,E69629246,880,3,Man Opus,Residential Apartment,15,18,69,Ready to move,19.0164338,73.0806552
409,E68832178,800,3,Lodha Mira Road Project 1,Residential Apartment,20,29,79.5,Ready to move,19.0164338,73.0806552
410,Y68782424,850,2,Man Opus,Residential Apartment,20,4,54.6,Ready to move,19.0164338,73.0806552
411,Y70386874,1050,2,Lodha Mira Road Project 1,Residential Apartment,15,38,49.5,Ready to move,19.0164338,73.0806552
412,Z69250598,350,2,Lodha Mira Road Project 1,Residential Apartment,20,21,70,Ready to move,19.0164338,73.0806552
413,F70594274,850,2,Lodha Mira Road Project 1,Residential Apartment,15,6,85.75,Ready to move,19.0164338,73.0806552
414,S70462342,800,3,Lodha Mira Road Project 1,Residential Apartment,15,33,48,Ready to move,18.9710996,73.0217484
415,Q70390296,1140,3,Lodha Mira Road Project 1,Residential Apartment,15,11,27,Ready to move,19.0164338,73.0806552
416,H66360402,925,3,Reputed Builder Wild Wood Park 2,Residential Apartment,9,48,79,Ready to move,19.05756305,72.83147309
417,G70364498,1095,2,Reputed Builder Wild Wood Park 2,Residential Apartment,15,22,360,Ready to move,-28.8166236,24.991639
418,P67681820,1280,3,Reputed Builder Wild Wood Park 2,Residential Apartment,15,3,350,Ready to move,19.0583358,72.8302669
419,L68736128,1200,3,Reputed Builder Wild Wood Park 2,Residential Apartment,10,41,300,Ready to move,19.0649126,72.8270326
420,W70827040,900,3,Lakshadeep Residency,Residential Apartment,6,16,350,Ready to move,43.852004,-89.3196725
421,V70733538,950,3,Reputed Builder Vrindavan Society,Residential Apartment,14,39,350,Ready to move,19.68086385,72.82537343
422,G70675112,1050,2,Reputed Builder Wild Wood Park 2,Residential Apartment,4,9,21,Ready to move,19.0626319,72.9011399
423,Y68660036,530,3,Shree Karma Heights,Residential Apartment,20,44,145,Under Construction,19.0525298,73.0735111
424,U54334684,850,3,Man Opus,Residential Apartment,7,27,149,Ready to move,19.0257731,73.05918478
425,H48446795,850,2,Lodha Aqua,Residential Apartment,3,2,27,Ready to move,19.0525298,73.0735111
426,S49195289,900,2,Man Opus,Residential Apartment,3,37,38.5,Ready to move,19.0525298,73.0735111
427,Y64363522,110,3,Lodha Mira Road Project 1,Residential Apartment,3,20,28.5,Ready to move,19.0525298,73.0735111
428,G65629496,300,2,Lodha Mira Road Project 1,Residential Apartment,3,5,121,Ready to move,19.0525298,73.0735111
429,L48127175,1250,2,Fia Orion,Residential Apartment,24,36,68,Ready to move,19.0525298,73.0735111
430,X48446719,950,2,Adhiraj Gardens,Residential Apartment,11,13,60,Ready to move,19.0525298,73.0735111
431,X70711192,922,2,Haware Nakshatra,Residential Apartment,33,49,68.5,Ready to move,19.0525298,73.0735111
432,S70711188,569,2,Braj City,Residential Apartment,33,24,55,Under Construction,19.0257731,73.05918478
433,O70711186,420,3,Alag Olive,Residential Apartment,33,7,92,Under Construction,19.0257731,73.05918478
434,B70422166,665,2,Lodha Aqua,Residential Apartment,18,30,50,Ready to move,19.0525298,73.0735111
435,C70422164,425,3,Lodha Aqua,Residential Apartment,18,14,175,Ready to move,19.0525298,73.0735111
436,C69160468,2000,2,Man Opus,Residential Apartment,10,43,94,Ready to move,19.0525298,73.0735111
437,W49678112,300,3,Man Opus,Residential Apartment,7,10,165,Ready to move,19.0525298,73.0735111
438,B70824170,650,2,DB Ozone,Residential Apartment,3,31,37,Ready to move,19.0257731,73.05918478
439,Z70595190,1095,3,DB Ozone,Residential Apartment,15,45,27,Ready to move,19.0525298,73.0735111
440,N70594474,1095,3,DB Ozone,Residential Apartment,15,28,80,Ready to move,19.0525298,73.0735111
441,M70461976,840,2,DB Ozone,Residential Apartment,15,17,220,Ready to move,19.0525298,73.0735111
442,B70440552,800,2,Lodha Aqua,Residential Apartment,15,50,102,Ready to move,19.0525298,73.0735111
443,V70860608,1110,2,Man Opus,Residential Apartment,13,32,31,Ready to move,19.0525298,73.0735111
444,K70704510,1200,1,Lodha Mira Road Project 1,Residential Apartment,3,19,55,Ready to move,1.27757385,-77.72891341
445,D70785454,1500,2,Man Opus,Residential Apartment,7,46,327.99999,Ready to move,1.27757385,-77.72891341
446,J70589742,1200,2,Lodha Mira Road Project 1,Residential Apartment,22,12,327.99999,Ready to move,19.16002235,72.84406138
447,K70666132,1000,3,Man Opus,Residential Apartment,8,25,110,Ready to move,19.1633281,72.8411995
448,N70633236,1200,3,Man Opus,Residential Apartment,13,34,120,Ready to move,19.1633281,72.8411995
449,A70362206,1000,3,Man Opus,Residential Apartment,12,23,170,Ready to move,19.43988455,72.8803834
450,I42943121,670,2,Lodha Aqua,Residential Apartment,14,40,29,Ready to move,19.1576606,72.9411353
451,W62617160,250,2,Haware Nakshatra,Serviced Apartments,3,1,361,Ready to move,25.89592445,82.43771623
452,C68374996,1000,2,Braj City,Residential Apartment,7,26,36.82,Under Construction,19.1943294,72.9701779
453,G70249984,180,2,Adhiraj Gardens,Residential Apartment,14,47,116,Ready to move,19.1943294,72.9701779
454,U70288974,1000,2,Swastik Sarvoday Symphony,Residential Apartment,12,8,21,Under Construction,18.96558885,73.10288131
455,Q70237876,1000,1,Arihant Advika,Residential Apartment,8,35,27,Under Construction,19.2716301,73.23586553
456,I69504458,200,2,Arihant Clan Aalishan Phase 1,Residential Apartment,16,15,36,Under Construction,25.89592445,82.43771623
457,O70665354,845,1,Sheth Auris Serenity Tower 2,Residential Apartment,19,42,28.65,Ready to move,19.1989795,73.19611234
458,L70640106,900,2,K Merchant Sai Ekvira Sadan,Residential Apartment,4,18,23.74,Ready to move,19.2955429,72.8573593
459,G70590856,1012,3,Reputed Builder Nutan Gangotri,Residential Apartment,18,29,52,Ready to move,19.1840129,72.8412155
460,W69981292,300,2,Proviso Heights,Residential Apartment,30,4,140,Ready to move,19.1633281,72.8411995
461,C69981008,300,3,Munish Glorious,Residential Apartment,42,38,625,Under Construction,19.1840129,72.8412155
462,C69980756,635,2,Munish Glorious,Residential Apartment,42,21,265,Ready to move,19.1840129,72.8412155
463,A69428226,702,3,Reputed Builder AVANTI APARTMENT,Residential Apartment,33,6,130,Ready to move,19.1840129,72.8412155
464,P69428222,483,2,BREDCO Hill View Park,Residential Apartment,33,33,106,Ready to move,19.1070215,72.8275275
465,D70298018,1150,2,Lodha Mira Road Project 1,Residential Apartment,18,11,110,Ready to move,19.1576606,72.9411353
466,E70125742,1000,2,VBHC 47 Rowland Park,Residential Apartment,6,48,361,Under Construction,25.89592445,82.43771623
467,X67096492,1926,3,VBHC 47 Rowland Park,Residential Apartment,60,22,36.82,Under Construction,19.2716301,73.23586553
468,D67096488,1415,2,Konark Alpha Residency,Residential Apartment,60,3,36,Ready to move,25.89592445,82.43771623
469,N70957886,1250,3,Reputed Builder Bharti Apartment,Residential Apartment,15,41,28.65,Ready to move,19.1943294,72.9701779
470,G70289938,1000,2,GHP Powai Vihar Complex,Residential Apartment,10,16,116,Ready to move,19.1943294,72.9701779
471,H70364028,1095,2,Gauri Excellency,Residential Apartment,15,39,21,Under Construction,18.96558885,73.10288131
472,M68853292,480,3,Kohinoor Royal Residency Park,Residential Apartment,6,9,27,Ready to move,19.2716301,73.23586553
473,J70236952,1350,2,Harsh Vista,Residential Apartment,14,44,39.85,Ready to move,20.787829,79.589794
474,M62786336,1180,2,Krupa Valley Phase 1,Residential Apartment,15,27,22,Ready to move,20.787829,79.589794
475,K68815590,1140,2,Jaishree Mayur Pankh,Residential Apartment,16,2,23,Under Construction,19.1436074,73.29553454
476,L68941230,713,2,West Pioneer Metro Grande,Residential Apartment,16,37,26.5,Ready to move,19.2816975,72.8560676
477,O68937916,980,3,Godrej Urban Park,Residential Apartment,21,20,46,Under Construction,19.1989795,73.19611234
478,T40264579,1100,3,Godrej Urban Park,Residential Apartment,12,5,23.74,Under Construction,18.9710996,73.0217484
479,K70300302,950,3,Godrej Urban Park,Residential Apartment,4,36,50,Under Construction,18.9710996,73.0217484
480,T70291376,1350,2,Godrej Urban Park,Residential Apartment,8,13,72,Under Construction,19.0616565,72.8498111
481,W70243628,713,2,Godrej Urban Park,Residential Apartment,16,49,720,Under Construction,18.8584694,72.9351104
482,N70242636,1095,2,Godrej Urban Park,Residential Apartment,15,24,61,Under Construction,19.0336118,73.01813957
483,T67398912,1200,3,Godrej Urban Park,Residential Apartment,7,7,185,Under Construction,19.0607337,73.0116775
484,Z68310090,300,2,Godrej Urban Park,Residential Apartment,15,30,225,Under Construction,19.0607337,73.0116775
485,K69960852,950,2,Godrej Urban Park,Residential Apartment,16,14,170,Under Construction,18.9710996,73.0217484
